ID,date,est,cort,pro
s,1/6/2016,780,429.9881188,283.7227723
s,1/7/2016,1097.947686,445.8832998,404.4748491
s,1/8/2016,540.4268293,335.3495935,238.902439
s,1/9/2016,820.0978474,563.334638,293.9178082
s,1/10/2016,508.88,256.664,202.392
s,1/11/2016,972.34,325.536,292.608
s,1/12/2016,330.9134615,170.4326923,90.14423077
s,1/13/2016,826.4583333,309.875,225.675
s,1/14/2016,464.99002,329.0938124,157.7964072
s,1/16/2016,753.6491935,612.9112903,318.1935484
s,1/17/2016,1249.072165,1017.05567,319.6948454
s,1/18/2016,654.4615385,791.7923077,307.5923077
s,1/19/2016,478.4027778,320.8333333,226.25
s,1/20/2016,619.1923077,401.8615385,281.9076923
s,1/21/2016,1447.90099,883.009901,563.5247525
s,1/22/2016,337.9038462,300.9692308,176.9538462
s,1/23/2016,1085.474747,569.2363636,112.6545455
s,1/24/2016,844.6245059,431.4940711,329.6205534
s,1/25/2016,1070.019802,502.7485149,311.9524752
s,1/26/2016,390.982659,252.539499,195.2601156
s,1/27/2016,997.9352227,459.0769231,261.7651822
s,1/28/2016,516.9306931,347.4772277,199.3188119
s,1/29/2016,698.0903491,354.5462012,365.100616
s,1/30/2016,1972.695313,676.609375,333.984375
s,1/31/2016,860.8514851,381.5445545,233.6792079
s,2/1/2016,942.6153846,329.1230769,140.7461538
s,2/2/2016,990.5625,404.0583333,323.475
s,2/3/2016,1158.906883,310.2753036,273.9352227
s,2/4/2016,1199.141221,295.259542,239.5648855
s,2/5/2016,1289.098039,429.2627451,278.5411765
s,2/6/2016,1379.502075,311.1120332,271.7178423
s,2/7/2016,1464.9501,316.0798403,305.245509
s,2/8/2016,1825.645833,390.6666667,352.35
s,2/9/2016,1113.561077,543.5279503,268.0248447
s,2/10/2016,1109.311024,352.2519685,297.1417323
s,2/11/2016,2653.454545,432.5818182,454.6909091
s,2/12/2016,1122.02729,256.0779727,275.7894737
s,2/13/2016,594.1,149.296,156.456
s,2/14/2016,250.8571429,84.60408163,91.2
s,2/15/2016,215.86,152.776,77.664
s,2/16/2016,1651.633858,316.4251969,270.2125984
s,2/17/2016,251.3193117,103.2887189,100.5659656
s,2/18/2016,1880.082305,348.526749,277.6296296
s,2/19/2016,1006.020408,258.4081633,244.7265306
s,2/21/2016,2296.214575,826.097166,468.8744939
s,2/22/2016,458.484252,140.4173228,145.5826772
s,2/23/2016,1734.543726,341.9163498,324.9581749
s,2/24/2016,2618.590734,616.2857143,371.1891892
s,2/25/2016,1541.428571,510.9565217,352.621118
s,2/29/2016,715.5918367,380.0571429,321.4285714
s,3/1/2016,1291.703854,435.148073,399.2129817
s,3/2/2016,1570.745098,408.4156863,499.6235294
s,3/3/2016,2200.314342,442.2789784,469.2730845
s,3/4/2016,959.2479675,297.6585366,306.5853659
s,3/5/2016,2148.511066,430.0523139,482.3420523
s,3/6/2016,1509.94012,369.7884232,428.8383234
s,3/7/2016,2637.474542,620.2851324,430.2403259
s,3/8/2016,1396.22,332.528,421.2
s,3/9/2016,1218.985507,444.9358178,347.4037267
s,3/10/2016,1377.524178,371.9458414,381.655706
s,3/11/2016,1788.235294,300.811359,399.9432049
s,3/12/2016,995.1976285,321.1857708,372.2371542
s,3/13/2016,807.6893204,322.9980583,265.4912621
s,3/14/2016,992.555332,364.2736419,317.915493
s,3/15/2016,626.0956175,236.4780876,208.9721116
s,3/16/2016,1399.83871,362.4274194,379.016129
s,3/17/2016,1251.309524,517.015873,412.5
s,3/18/2016,996.1046512,267.8914729,346.8837209
s,3/19/2016,1503.333333,444.4862745,411.6705882
s,3/21/2016,2382.007874,562.5748031,491.9527559
s,3/22/2016,2140.019646,545.1709234,501.3831041
s,3/23/2016,1701.44898,382.0163265,447.2816327
s,3/24/2016,1230.407332,342.2892057,340.0570265
s,3/28/2016,726.5439673,165.2377049,255.2392638
s,3/29/2016,807.9876797,179.6790123,294.9486653
s,3/30/2016,274.25,50.17142857,138
s,3/31/2016,992.2336066,252.675835,240.3442623
s,3/31/2016,772.9423868,238.2798354,281.7037037
s,4/1/2016,847.6122449,239,265.9591837
s,4/2/2016,530.1178782,141.2796781,205.2495088
s,4/3/2016,409.6721311,77.18834951,185.9016393
s,4/4/2016,266.1046512,73.28063241,101.372093
s,4/5/2016,498.5110664,182.9105058,216.6519115
s,4/6/2016,1147.631068,272.2174757,255.7048544
s,4/7/2016,906.1660079,281.6284585,255.5573123
s,4/8/2016,2014.357977,431.0194553,339.3385214
s,4/10/2016,918.75,272.925,290.325
s,4/10/2016,3294.101563,529.9921875,291.234375
s,4/11/2016,1387.346939,331.877551,365.8040816
s,4/12/2016,879.6679688,219.7734375,278.3671875
s,4/13/2016,1230.481696,280,288.5549133
s,4/14/2016,1817.042254,352.7323944,309.0784708
s,4/15/2016,2272.734375,539.1796875,354.796875
s,4/17/2016,1491.325052,323.7101449,318.5590062
s,4/18/2016,1794.417671,343.5100402,369.7590361
s,4/19/2016,1775.340206,399.8762887,340.9979381
s,4/20/2016,1828.723404,597.7794971,355.1953578
s,4/21/2016,947.3346304,466.3657588,446.4280156
s,4/22/2016,1298.461538,343.7255717,341.7380457
s,4/23/2016,1345.976563,326.71875,287.15625
s,4/24/2016,1770.393701,442.3228346,301.5354331
s,4/25/2016,1584.252427,467.6660194,381.8796117
s,4/26/2016,1339.492901,295.0831643,339.3346856
s,4/27/2016,1096.995885,333.563786,224.1481481
s,4/28/2016,1276.814672,323.1428571,174.5096525
s,4/29/2016,1815.867769,423.7438017,314.4049587
s,4/30/2016,1512.83237,349.8651252,242.4971098
s,5/1/2016,1041.686275,223.1921569,208.8705882
s,5/2/2016,1160.914634,280.9430894,253.8292683
s,5/3/2016,1245.539419,485.0124481,292.9294606
s,5/4/2016,501.1340206,231.6206186,336.0247423
s,5/5/2016,826.4117647,286.0784314,278.1882353
s,5/6/2016,788.3693517,254.1925344,232.1257367
s,5/7/2016,1794.45663,434.1375872,372.4905284
s,5/8/2016,1603.444227,252.8610568,342.1056751
s,5/9/2016,1145.97561,238.3333333,399.6585366
s,5/10/2016,1166.855469,210.6796875,289.40625
s,5/11/2016,1219.189723,202.972332,310.7667984
s,5/12/2016,674.033264,164.8232848,285.6798337
s,5/13/2016,747.6583493,304.9673704,228.2994242
s,5/15/2016,876.5277778,203.7777778,266.3571429
s,5/16/2016,1274.692308,6122.146154,278.7923077
s,5/17/2016,1653.292929,244.0808081,330.0363636
s,5/18/2016,1750.118812,305.2752475,488.6019802
s,5/19/2016,1798.672032,302.527163,381.22334
s,5/23/2016,1153.754941,222.0948617,297.9604743
s,5/24/2016,1711.820041,260.6298569,352.0490798
s,5/25/2016,1320.618762,370.8982036,257.6047904
s,5/26/2016,765.3783231,229.595092,223.0674847
s,5/28/2016,1478.553719,265.0743802,328.9834711
s,5/29/2016,1281.523046,320.0480962,330.492986
s,6/1/2016,1262.755102,215.1591837,279.6244898
s,6/3/2016,2299.381044,3583.009671,292.5957447
s,6/5/2016,1179.524793,379.5123967,237.7933884
s,6/6/2016,988.7751004,430.9076305,307.4457831
s,6/7/2016,2092.205029,587.7833656,272.8897485
s,6/8/2016,1240,542.8536585,297.4390244
