Animal_ID,Count,Sex,CaptureDate,Time,Age,Repro,Mass,TestisLength,Handler,Season,Location,prog.10,est.10,cort.10,Test.10,Notes
m,,F,5/12/2015,,A,,224,,,Spring,Zoo,37.03153846,141.8903846,66.02538462,na,
p,,F,5/12/2015,,A,,228.3,,,Spring,Zoo,35.13154639,19.61731959,121.8061856,na,
s,,F,5/12/2015,,A,,225.1,,,Spring,Zoo,26.96866538,179.3945841,78.70096712,na,
m,,F,5/14/2015,,A,,224,,,Spring,Zoo,46.91860465,215.1375969,98.59302326,na,
p,,F,5/14/2015,,A,,228.3,,,Spring,Zoo,40.51097804,43.86906188,86.46227545,na,
s,,F,5/14/2015,,A,,225.1,,,Spring,Zoo,18.09767442,272.9263566,42.13953488,na,
m,,F,5/15/2015,,A,,224,,,Spring,Zoo,28.24401544,99.53281853,32.90501931,na,
p,,F,5/15/2015,,A,,228.3,,,Spring,Zoo,45.06288032,68.03326572,95.59837728,na,
s,,F,5/15/2015,,A,,225.1,,,Spring,Zoo,21.11724138,78.87739464,52.8,na,
m,,F,5/16/2015,,A,,224,,,Spring,Zoo,30.06,120.0708333,106.1175,na,
p,,F,5/16/2015,,A,,228.3,,,Spring,Zoo,37.54601227,32.32638037,89.24171779,na,
s,,F,5/16/2015,,A,,225.1,,,Spring,Zoo,21.13846154,141.0098619,56.13964497,na,
m,,F,5/17/2015,,A,,224,,,Spring,Zoo,20.30103093,73.10103093,29.52,na,
p,,F,5/17/2015,,A,,228.3,,,Spring,Zoo,37.7578125,30.00703125,95.12109375,na,
s,,F,5/17/2015,,A,,225.1,,,Spring,Zoo,14.04219067,109.673428,42.47951318,na,
m,,F,5/18/2015,,A,,224,,,Spring,Zoo,27.91566731,123.2978723,60.27852998,na,
p,,F,5/18/2015,,A,,228.3,,,Spring,Zoo,33.72639692,36.31445087,152.2196532,na,
s,,F,5/18/2015,,A,,225.1,,,Spring,Zoo,16.54615385,110.9653846,34.46769231,na,
m,,F,5/19/2015,,A,,224,,,Spring,Zoo,30.39298246,175.5360624,61.52748538,na,
p,,F,5/19/2015,,A,,228.3,,,Spring,Zoo,42.85265226,50.58939096,121.032613,na,
s,,F,5/19/2015,,A,,225.1,,,Spring,Zoo,14.025,91.67916667,54.395,na,
m,,F,5/20/2015,,A,,224,,,Spring,Zoo,25.7,111.1309524,65.45,na,
p,,F,5/20/2015,,A,,228.3,,,Spring,Zoo,45.0867052,15.37649326,109.5375723,na,
s,,F,5/20/2015,,A,,225.1,,,Spring,Zoo,14.4,69.21289063,47.1,na,
g,,M,5/20/2015,,A,,213.7,,,Spring,Zoo,na,na,31.42729124,99.70264766,
a,,M,5/20/2015,,A,,228.3,,,Spring,Zoo,na,na,15.33795918,99.70264766,
b,,M,5/20/2015,,A,,222.9,,,Spring,Zoo,na,na,30.46190476,138.7222222,
m,,F,5/21/2015,,A,,224,,,Spring,Zoo,27.23606557,86.22131148,43.5,na,
m,,F,5/21/2015,,A,,224,,,Spring,Zoo,30.07145791,97.03696099,81.34620123,na,
p,,F,5/21/2015,,A,,228.3,,,Spring,Zoo,37.61893491,37.5581854,88.96804734,na,
s,,F,5/21/2015,,A,,225.1,,,Spring,Zoo,12.38970297,45.78019802,27.05584158,na,
m,,F,5/22/2015,,A,,224,,,Spring,Zoo,28.33165049,77.47572816,69.73747573,na,
p,,F,5/22/2015,,A,,228.3,,,Spring,Zoo,48.63492063,82.98412698,120.8142857,na,
s,,F,5/22/2015,,A,,225.1,,,Spring,Zoo,17.48372093,78.6996124,26.84418605,na,
m,,F,5/23/2015,,A,,224,,,Spring,Zoo,35.22162162,113.0852391,58.87484407,na,
p,,F,5/23/2015,,A,,228.3,,,Spring,Zoo,56.33802817,109.9726358,73.18551308,na,
s,,F,5/23/2015,,A,,225.1,,,Spring,Zoo,24.19453125,60.85546875,46.28203125,na,
m,,F,5/24/2015,,A,,224,,,Spring,Zoo,34.4015444,135.4169884,62.13359073,na,
p,,F,5/24/2015,,A,,228.3,,,Spring,Zoo,na,104.6928571,157.7380952,na,
s,,F,5/24/2015,,A,,225.1,,,Spring,Zoo,24.53516699,88.24361493,59.13713163,na,
m,,F,5/25/2015,,A,,224,,,Spring,Zoo,27.9034749,82.97490347,39.1042471,na,
p,,F,5/25/2015,,A,,228.3,,,Spring,Zoo,36.18800774,34.50135397,196.9555126,na,
s,,F,5/25/2015,,A,,225.1,,,Spring,Zoo,21.36475248,69.47524752,67.91762376,na,
p,,F,5/26/2015,,A,,228.3,,,Spring,Zoo,35.6039604,44.8950495,73.89386139,na,
s,,F,5/26/2015,,A,,225.1,,,Spring,Zoo,21.69378758,66.74549098,30.44008016,na,
m,,F,5/27/2015,,A,,224,,,Spring,Zoo,30.0816,90.95,42.7632,na,
p,,F,5/27/2015,,A,,228.3,,,Spring,Zoo,na,175.654321,194.8469136,na,
s,,F,5/27/2015,,A,,225.1,,,Spring,Zoo,10.47017544,40.46978558,40.16842105,na,
g,,M,5/27/2015,,A,,213.7,,,Spring,Zoo,na,na,33.78672199,125.2448133,
a,,M,5/27/2015,,A,,228.3,,,Spring,Zoo,na,na,7.754226804,125.2448133,
b,,M,5/27/2015,,A,,222.9,,,Spring,Zoo,na,na,13.01338583,60.54724409,
m,,F,5/28/2015,,A,,224,,,Spring,Zoo,29.10520231,75.6955684,67.53757225,na,
p,,F,5/28/2015,,A,,228.3,,,Spring,Zoo,na,37.51673152,127.7649805,na,
s,,F,5/28/2015,,A,,225.1,,,Spring,Zoo,11.76092843,34.344294,27.41663443,na,
m,,F,5/29/2015,,A,,224,,,Spring,Zoo,19.02142857,49.75396825,39.21190476,na,
p,,F,5/29/2015,,A,,228.3,,,Spring,Zoo,na,51.06885246,93.76229508,na,
s,,F,5/29/2015,,A,,225.1,,,Spring,Zoo,29.20714286,142.1507937,68.74761905,na,
m,,F,5/30/2015,,A,,224,,,Spring,Zoo,19.99148936,69.76595745,50.31411992,na,
p,,F,5/30/2015,,A,,228.3,,,Spring,Zoo,na,67.42367347,60.3844898,na,
s,,F,5/30/2015,,A,,225.1,,,Spring,Zoo,17.72138493,105.4826884,32.93279022,na,
p,,F,5/31/2015,,A,,228.3,,,Spring,Zoo,na,51.34140625,73.07578125,na,
s,,F,5/31/2015,,A,,225.1,,,Spring,Zoo,18.59538462,102.4192308,41.82461538,na,
m,,F,6/1/2015,,A,,224,,,Spring,Zoo,31.08489796,140.377551,56.75755102,na,
p,,F,6/1/2015,,A,,228.3,,,Spring,Zoo,na,84.4876494,49.99840637,na,
s,,F,6/1/2015,,A,,225.1,,,Spring,Zoo,12.41889117,23.5523614,17.96550308,na,
m,,F,6/3/2015,,A,,224,,,Spring,Zoo,21.6,83.64342629,41.74183267,na,
p,,F,6/3/2015,,A,,228.3,,,Spring,Zoo,na,44.68196721,68.5647541,na,
s,,F,6/3/2015,,A,,225.1,,,Spring,Zoo,26.85386139,244.6970297,56.72316832,na,
g,,M,6/3/2015,,A,,213.7,,,Spring,Zoo,na,na,15.59751553,110.8530021,
a,,M,6/3/2015,,A,,228.3,,,Spring,Zoo,na,na,3.404819277,110.8530021,
b,,M,6/3/2015,,A,,222.9,,,Spring,Zoo,na,na,28.98461538,235.6356275,
m,,F,6/4/2015,,A,,224,,,Spring,Zoo,17.73692308,73.69038462,48.13846154,na,
p,,F,6/4/2015,,A,,228.3,,,Spring,Zoo,na,60.78962076,127.4419162,na,
s,,F,6/4/2015,,A,,225.1,,,Spring,Zoo,18.07185629,117.9580838,51.51616766,na,
m,,F,6/5/2015,,A,,224,,,Spring,Zoo,25.37075099,69.42094862,62.40474308,na,
p,,F,6/5/2015,,A,,228.3,,,Spring,Zoo,na,26.34567901,76.07160494,na,
s,,F,6/5/2015,,A,,225.1,,,Spring,Zoo,na,54.73577236,32.98292683,na,
m,,F,6/6/2015,,A,,224,,,Spring,Zoo,26.53140496,61.75619835,60.33966942,na,
p,,F,6/6/2015,,A,,228.3,,,Spring,Zoo,na,42.63673469,105.715102,na,
s,,F,6/6/2015,,A,,225.1,,,Spring,Zoo,11.68408644,44.66797642,28.04086444,na,
m,,F,6/7/2015,,A,,224,,,Spring,Zoo,48.57865613,158.4940711,na,na,
p,,F,6/7/2015,,A,,228.3,,,Spring,Zoo,na,37.981893,92.07407407,na,
s,,F,6/7/2015,,A,,225.1,,,Spring,Zoo,21.45433526,179.7321773,71.8982659,na,
m,,F,6/8/2015,,A,,224,,,Spring,Zoo,44.145,281.66875,96.1325,na,
p,,F,6/8/2015,,A,,228.3,,,Spring,Zoo,32.42519685,44.02755906,94.63228346,na,
s,,F,6/8/2015,,A,,225.1,,,Spring,Zoo,21.2890595,145.9596929,66.53205374,na,
m,,F,6/9/2015,,A,,224,,,Spring,Zoo,30.38282209,102.4887526,46.92269939,na,
p,,F,6/9/2015,,A,,228.3,,,Spring,Zoo,46.21705426,40.15503876,43.34186047,na,
s,,F,6/9/2015,,A,,225.1,,,Spring,Zoo,24.16943907,102.3384913,57.88549323,na,
m,,F,6/10/2015,,A,,224,,,Spring,Zoo,22.6425,77.39791667,32.9175,na,
p,,F,6/10/2015,,A,,228.3,,,Spring,Zoo,41.38888889,41.5031746,72.66428571,na,
s,,F,6/10/2015,,A,,225.1,,,Spring,Zoo,25.41301775,125.199211,43.77514793,na,
g,,M,6/10/2015,,A,,213.7,,,Spring,Zoo,na,na,28.14,82.99230769,
a,,M,6/10/2015,,A,,228.3,,,Spring,Zoo,na,na,7.666135458,82.99230769,
b,,M,6/10/2015,,A,,222.9,,,Spring,Zoo,na,na,18.62093023,98.74031008,
m,,F,6/11/2015,,A,,224,,,Spring,Zoo,31.4757764,114.4099379,44.98881988,na,
p,,F,6/11/2015,,A,,228.3,,,Spring,Zoo,30.38845361,42.41484536,76.41154639,na,
s,,F,6/11/2015,,A,,225.1,,,Spring,Zoo,15.4546875,82.15039063,61.4296875,na,
m,,F,6/12/2015,,A,,224,,,Spring,Zoo,28.81558442,107.6536797,81.33766234,na,
p,,F,6/12/2015,,A,,228.3,,,Spring,Zoo,33.6627451,24.29019608,59.67058824,na,
s,,F,6/12/2015,,A,,225.1,,,Spring,Zoo,25.11111111,84.96296296,78.79259259,na,
m,,F,6/13/2015,,A,,224,,,Spring,Zoo,32.9025,75.07708333,38.385,na,
p,,F,6/13/2015,,A,,228.3,,,Spring,Zoo,41.86773547,66.59639279,85.26973948,na,
s,,F,6/13/2015,,A,,225.1,,,Spring,Zoo,28.512,121.498,76.2336,na,
m,,F,6/14/2015,,A,,224,,,Spring,Zoo,17.21162791,43.0251938,22.70465116,na,
p,,F,6/14/2015,,A,,228.3,,,Spring,Zoo,38.91485149,132.2811881,64.4150495,na,
s,,F,6/14/2015,,A,,225.1,,,Spring,Zoo,13.70462777,66.76861167,73.90020121,na,
m,,F,6/15/2015,,A,,224,,,Spring,Zoo,41.46585366,120.9715447,64.18780488,na,
p,,F,6/15/2015,,A,,228.3,,,Spring,Zoo,39.72705882,54.0745098,71.95058824,na,
s,,F,6/15/2015,,A,,225.1,,,Spring,Zoo,24.67079304,120.2669246,110.6390716,na,
m,,F,6/16/2015,,A,,224,,,Spring,Zoo,35.87244094,143.011811,58.88503937,na,
p,,F,6/16/2015,,A,,228.3,,,Spring,Zoo,34.18181818,63.6630303,84.17212121,na,
s,,F,6/16/2015,,A,,225.1,,,Spring,Zoo,16.57622951,31.90778689,98.36557377,na,
m,,F,6/17/2015,,A,,224,,,Spring,Zoo,28.88981289,130.8232848,119.6482328,na,
p,,F,6/17/2015,,A,,228.3,,,Spring,Zoo,44.38554217,42.30361446,64.04819277,na,
s,,F,6/17/2015,,A,,225.1,,,Spring,Zoo,20.03414634,56.6199187,83.38780488,na,
g,,M,6/17/2015,,A,,213.7,,,Spring,Zoo,na,na,32.63121387,87.10211946,
a,,M,6/17/2015,,A,,228.3,,,Spring,Zoo,na,na,20.81219512,87.10211946,
b,,M,6/17/2015,,A,,222.9,,,Spring,Zoo,na,na,11.76913828,74.00400802,
m,,F,6/18/2015,,A,,224,,,Spring,Zoo,28.07307692,145.6538462,54.03692308,na,
p,,F,6/18/2015,,A,,228.3,,,Spring,Zoo,47.15831663,81.66412826,82.20601202,na,
s,,F,6/18/2015,,A,,225.1,,,Spring,Zoo,14.44855491,72.37186898,65.62312139,na,
m,,F,6/19/2015,,A,,224,,,Spring,Zoo,25.64520256,90.65671642,37.43539446,na,
p,,F,6/19/2015,,A,,228.3,,,Spring,Zoo,na,37.36895874,94.04557957,na,
s,,F,6/19/2015,,A,,225.1,,,Spring,Zoo,15.25884692,43.4612326,64.32286282,na,
m,,F,6/20/2015,,A,,224,,,Summer,Zoo,29.26004057,138.2981744,45.78498986,na,
p,,F,6/20/2015,,A,,228.3,,,Summer,Zoo,47.4496124,100.7062016,98.65813953,na,
m,,F,6/21/2015,,A,,224,,,Summer,Zoo,24.17445972,88.65225933,66.72612967,na,
m,,F,6/21/2015,,A,,224,,,Summer,Zoo,25.488,96.556,32.4336,na,
p,,F,6/21/2015,,A,,228.3,,,Summer,Zoo,31.82945736,82.74806202,52.99069767,na,
p,,F,6/21/2015,,A,,228.3,,,Summer,Zoo,71.30864198,337.7769547,72.7654321,na,
s,,F,6/21/2015,,A,,225.1,,,Summer,Zoo,17.20641283,73.78156313,55.84208417,na,
s,,F,6/21/2015,,A,,225.1,,,Summer,Zoo,19.33818182,55.56969697,50.4969697,na,
m,,F,6/22/2015,,A,,224,,,Summer,Zoo,28.9697446,155.8722986,63.35717092,na,
p,,F,6/22/2015,,A,,228.3,,,Summer,Zoo,32.02440945,43.96220472,97.32519685,na,
s,,F,6/22/2015,,A,,225.1,,,Summer,Zoo,17.40483871,110.1431452,66.21774194,na,
m,,F,6/23/2015,,A,,224,,,Summer,Zoo,28.74193548,160.4455645,65.2233871,na,
p,,F,6/23/2015,,A,,228.3,,,Summer,Zoo,35.48818898,50.78110236,184.3370079,na,
s,,F,6/23/2015,,A,,225.1,,,Summer,Zoo,14.48981289,55.6008316,44.06320166,na,
m,,F,6/24/2015,,A,,224,,,Summer,Zoo,23.37380457,89.28066528,46.82494802,na,
p,,F,6/24/2015,,A,,228.3,,,Summer,Zoo,34.4526749,89.26584362,193.3530864,na,
s,,F,6/24/2015,,A,,225.1,,,Summer,Zoo,na,61.75208333,63.2625,na,
g,,M,6/24/2015,,A,,213.7,,,Summer,Zoo,na,na,29.96725146,111.0604288,
a,,M,6/24/2015,,A,,228.3,,,Summer,Zoo,na,na,16.8,111.0604288,
b,,M,6/24/2015,,A,,222.9,,,Summer,Zoo,na,na,8.501538462,68.01153846,
m,,F,6/25/2015,,A,,224,,,Summer,Zoo,19.74,64.3125,55.035,na,
p,,F,6/25/2015,,A,,228.3,,,Summer,Zoo,33.09836066,68.35,94.34754098,na,
s,,F,6/25/2015,,A,,225.1,,,Summer,Zoo,16.31578947,81.61598441,24.05380117,na,
s,,F,6/25/2015,,A,,225.1,,,Summer,Zoo,na,83.77058824,36.55764706,na,
m,,F,6/26/2015,,A,,224,,,Summer,Zoo,35.28699029,98.14757282,53.48271845,na,
p,,F,6/26/2015,,A,,228.3,,,Summer,Zoo,43.7195122,156.6195122,210.3731707,na,
s,,F,6/26/2015,,A,,225.1,,,Summer,Zoo,na,74.60122699,44.26257669,na,
m,,F,6/27/2015,,A,,224,,,Summer,Zoo,25.35378641,49.10291262,53.76699029,na,
p,,F,6/27/2015,,A,,228.3,,,Summer,Zoo,31.06299213,39.64330709,102.1795276,na,
s,,F,6/27/2015,,A,,225.1,,,Summer,Zoo,na,57.39183673,14.13795918,na,
m,,F,6/28/2015,,A,,224,,,Summer,Zoo,22.32982456,94.43664717,56.58479532,na,
p,,F,6/28/2015,,A,,228.3,,,Summer,Zoo,45.4459725,135.6605108,150.5163065,na,
s,,F,6/28/2015,,A,,225.1,,,Summer,Zoo,25.43510204,96.34897959,59.88,na,
m,,F,6/29/2015,,A,,224,,,Summer,Zoo,36.15,124.8041667,158.5625,na,
