ct,ID-MGRS,date,prog/10,est/10,cort/10,,,,,,,,,,,,,,,,,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
120,p,5/5/2015,34.42774566,28.10250482,114.0693642,,,,,,,,,,,,,,,,,,120,s,8/4/2015,182.9461078,730.8582834,370.7305389,,120,m,8/7/2015,208.9937888,1006.687371,505.9130435
121,p,5/6/2015,51.66462168,93.01022495,63.60981595,,,,,,,,,,,,,,,,,,121,s,8/5/2015,113.8760331,490.4958678,288.446281,,121,m,8/8/2015,261.9408284,809.5069034,738.0591716
122,p,5/7/2015,73.39837398,174.0430894,100.2317073,,,,,,,,,,,,,,,,,,122,s,8/6/2015,90.86055777,310.3784861,155.0438247,,122,m,8/9/2015,217.725,992.5833333,329.675
123,p,5/8/2015,44.22035928,51.62315369,95.10179641,,,,,,,,,,,,,,,,,,123,s,8/7/2015,174.6036961,711.2936345,341.8644764,,123,m,8/10/2015,67.68292683,1247.743902,524.8536585
124,p,5/9/2015,48.15503876,89.23178295,86.65348837,,,,,,,,,,,,,,,,,,124,s,8/8/2015,74.28461538,402.7692308,361.2923077,,124,m,8/11/2015,258.9486653,1061.396304,513.0677618
125,p,5/10/2015,45.70967742,53.125,99.37741935,,,,,,,,,,,,,,,,,,125,s,8/9/2015,160.3180915,836.0437376,529.2405567,,125,m,8/12/2015,340.255814,909.8837209,.
126,p,5/11/2015,50.25396825,48.49920635,124.6714286,,,,,,,,,,,,,,,,,,126,s,8/10/2015,.,250.42,126.624,,126,m,8/13/2015,248.0158103,3923.083004,421.4940711
127,p,5/12/2015,35.13154639,19.61731959,121.8061856,,,,,,,,,,,,,,,,,,127,s,8/11/2015,90,405.2788845,148.876494,,127,m,8/14/2015,415.5348837,609.0891473,1010.302326
128,p,5/14/2015,40.51097804,43.86906188,86.46227545,,,,,,,,,,,,,,,,,,128,s,8/12/2015,191.448,1001.9,628.704,,128,m,8/15/2015,160.5306122,445.3469388,392.3265306
129,p,5/15/2015,45.06288032,68.03326572,95.59837728,,,,,,,,,,,,,,,,,,129,s,8/13/2015,61.35892514,424.3570058,409.8426104,,129,m,8/16/2015,89.60320641,765.9719439,237.8597194
130,p,5/16/2015,37.54601227,32.32638037,89.24171779,,,,,,,,,,,,,,,,,,130,s,8/14/2015,166.0527383,502.9614604,498.4989858,,130,m,8/17/2015,252.2987552,1684.045643,512.5643154
131,p,5/17/2015,37.7578125,30.00703125,95.12109375,,,,,,,,,,,,,,,,,,131,s,8/15/2015,119.666004,364.2743539,422.1232604,,131,m,8/18/2015,248.4823285,1174.802495,643.3347193
132,p,5/18/2015,33.72639692,36.31445087,152.2196532,,,,,,,,,,,,,,,,,,132,s,8/16/2015,145.7821782,511.6633663,657.5762376,,132,m,8/19/2015,331.6941176,624.0588235,910.6352941
