ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
42,1225,6/18/2019,,745.5438596,940.662768,545.45,,,42,5077,4/18/2019,1227.329193,1761.055901,907.3043478,,,42,p,5/19/2015,428.5265226,505.8939096,1210.32613,,42,s,5/18/2015,165.4615385,1109.653846,344.6769231,,42,m,5/18/2015,279.1566731,1232.978723,602.7852998
43,1225,6/18/2019,,612,599.9175258,345.922,,,43,5092,7/30/2019,1598.412698,2921.071429,808.4285714,,,43,p,5/20/2015,450.867052,153.7649326,1095.375723,,43,s,5/19/2015,140.25,916.7916667,543.95,,43,m,5/19/2015,303.9298246,1755.360624,615.2748538
44,1226,5/29/2018,,2294.361055,2378.701826,1066.588,,,44,5100,6/8/2019,3793.38843,10606.98347,4130.553719,,,44,p,5/21/2015,376.1893491,375.581854,889.6804734,,44,s,5/20/2015,144,692.1289063,471,,44,m,5/20/2015,257,1111.309524,654.5
,,,,,,,,,45,5107,8/7/2019,587.736,1075.5,607.8,,,45,p,5/22/2015,486.3492063,829.8412698,1208.142857,,45,s,5/21/2015,123.8970297,457.8019802,270.5584158,,45,m,5/21/2015,272.3606557,862.2131148,435
,,,,,,,,,46,5110,8/12/2019,2240.490798,2133.128834,837.4969325,,,46,p,5/23/2015,563.3802817,1099.726358,731.8551308,,46,s,5/22/2015,174.8372093,786.996124,268.4418605,,46,m,5/22/2015,283.3165049,774.7572816,697.3747573
,,,,,,,,,47,5113,8/14/2019,1449.275362,507.5776398,1051.875776,,,47,p,5/24/2015,.,1046.928571,1577.380952,,47,s,5/23/2015,241.9453125,608.5546875,462.8203125,,47,m,5/23/2015,352.2162162,1130.852391,588.7484407
,,,,,,,,,,,,,,,,,48,p,5/25/2015,361.8800774,345.0135397,1969.555126,,48,s,5/24/2015,245.3516699,882.4361493,591.3713163,,48,m,5/24/2015,344.015444,1354.169884,621.3359073
,,,,,,,,,,,,,,,,,49,p,5/26/2015,356.039604,448.950495,738.9386139,,49,s,5/25/2015,213.6475248,694.7524752,679.1762376,,49,m,5/25/2015,279.034749,829.7490347,391.042471
,,,,,,,,,,,,,,,,,50,p,5/27/2015,.,1756.54321,1948.469136,,50,s,5/26/2015,216.9378758,667.4549098,304.4008016,,50,m,5/21/2015,300.7145791,970.3696099,813.4620123
,,,,,,,,,,,,,,,,,51,p,5/28/2015,.,375.1673152,1277.649805,,51,s,5/27/2015,104.7017544,404.6978558,401.6842105,,51,m,5/27/2015,300.816,909.5,427.632
,,,,,,,,,,,,,,,,,52,p,5/29/2015,.,510.6885246,937.6229508,,52,s,5/28/2015,117.6092843,343.44294,274.1663443,,52,m,5/28/2015,291.0520231,756.955684,675.3757225
,,,,,,,,,,,,,,,,,53,p,5/30/2015,.,674.2367347,603.844898,,53,s,5/29/2015,292.0714286,1421.507937,687.4761905,,53,m,5/29/2015,190.2142857,497.5396825,392.1190476
,,,,,,,,,,,,,,,,,54,p,5/31/2015,.,513.4140625,730.7578125,,54,s,5/30/2015,177.2138493,1054.826884,329.3279022,,54,m,5/30/2015,199.9148936,697.6595745,503.1411992
,,,,,,,,,,,,,,,,,55,p,6/1/2015,.,844.876494,499.9840637,,55,s,5/31/2015,185.9538462,1024.192308,418.2461538,,55,m,6/1/2015,310.8489796,1403.77551,567.5755102
,,,,,,,,,,,,,,,,,56,p,6/3/2015,.,446.8196721,685.647541,,56,s,6/1/2015,124.1889117,235.523614,179.6550308,,56,m,6/3/2015,216,836.4342629,417.4183267
,,,,,,,,,,,,,,,,,57,p,6/4/2015,.,607.8962076,1274.419162,,57,s,6/3/2015,268.5386139,2446.970297,567.2316832,,57,m,6/4/2015,177.3692308,736.9038462,481.3846154
,,,,,,,,,,,,,,,,,58,p,6/5/2015,.,263.4567901,760.7160494,,58,s,6/4/2015,180.7185629,1179.580838,515.1616766,,58,m,6/5/2015,253.7075099,694.2094862,624.0474308
