s_est,m_est,b_agr,m_agr,s_datecolct,s_est,m_dateclct,m_est
,,,,9-Oct-16,1416.5,na,na
,,,,10-Oct-16,1907.9,na,na
,,,,11-Oct-16,838.5,na,na
,,,,12-Oct-16,806.9,na,na
,,,,13-Oct-16,1120.5,na,na
,,,,14-Oct-16,1672.2,na,na
,,,,16-Oct-16,991.9,na,na
,,,,16-Oct-16,725.9,na,na
,,,,17-Oct-16,1158.2,na,na
,,,,18-Oct-16,656,na,na
,,,,19-Oct-16,917.2,na,na
,,,,20-Oct-16,945.6,na,na
,,,,21-Oct-16,676.7,na,na
,,,,23-Oct-16,1226.2,na,na
,,,,24-Oct-16,751.9,na,na
,,,,24-Oct-16,651.4,na,na
,,,,25-Oct-16,570,na,na
,,,,26-Oct-16,726.9,na,na
,,,,27-Oct-16,1133.7,na,na
,,,,28-Oct-16,410.7,na,na
,,,,29-Oct-16,1100.4,na,na
,,,,30-Oct-16,580.8,na,na
,,,,31-Oct-16,1480.7,na,na
,,,,1-Nov-16,795.8,na,na
,,,,2-Nov-16,1161.1,na,na
,,,,3-Nov-16,849.4,na,na
,,,,4-Nov-16,1339.1,na,na
,,,,5-Nov-16,788.5,na,na
,,,,6-Nov-16,1771.5,na,na
,,,,7-Nov-16,999,na,na
,,,,8-Nov-16,1622,na,na
,,,,9-Nov-16,1532.1,na,na
,,,,10-Nov-16,1735.6,na,na
,,,,11-Nov-16,937,na,na
,,,,12-Nov-16,796.9,na,na
,,,,13-Nov-16,466.9,na,na
,,,,14-Nov-16,438.6,na,na
,,,,15-Nov-16,861.2,na,na
,,,,16-Nov-16,1045.1,na,na
,,,,17-Nov-16,694.9,na,na
,,,,18-Nov-16,1181.1,na,na
,,,,19-Nov-16,3297.9,na,na
,,,,20-Nov-16,893.8,na,na
,,,,21-Nov-16,1258.7,na,na
,,,,22-Nov-16,1409.4,na,na
,,,,23-Nov-16,763.6,na,na
,,,,24-Nov-16,1915.8,na,na
,,,,25-Nov-16,1447.9,na,na
,,,,26-Nov-16,108.9,na,na
,,,,28-Nov-16,726.7,na,na
,,,,28-Nov-16,2800.4,na,na
,,,,29-Nov-16,1716.6,na,na
,,,,30-Nov-16,2436.8,na,na
,,,,1-Dec-16,1431.1,na,na
,,,,2-Dec-16,1368.3,na,na
,,,,3-Dec-16,1716.9,na,na
,,,,4-Dec-16,2086.3,na,na
,,,,5-Dec-16,4333.9,na,na
,,,,6-Dec-16,2194.9,na,na
,,,,7-Dec-16,2457.2,na,na
,,,,8-Dec-16,1722.4,na,na
,,,,9-Dec-16,563.7,na,na
,,,,10-Dec-16,659.5,na,na
,,,,11-Dec-16,622.6,na,na
,,,,12-Dec-16,682.9,na,na
,,,,13-Dec-16,523,na,na
,,,,14-Dec-16,557,na,na
,,,,15-Dec-16,880,na,na
,,,,16-Dec-16,680.6,na,na
,,,,17-Dec-16,435.8,na,na
,,,,18-Dec-16,1137.1,na,na
,,,,19-Dec-16,1135.5,na,na
,,,,20-Dec-16,590.2,na,na
,,,,22-Dec-16,1744,na,na
,,,,22-Dec-16,857,na,na
,,,,23-Dec-16,995.4,na,na
,,,,24-Dec-16,1968.7,na,na
,,,,25-Dec-16,1750.9,na,na
,,,,26-Dec-16,774.6,na,na
,,,,27-Dec-16,925.4,na,na
,,,,28-Dec-16,952.9,na,na
,,,,29-Dec-16,753.3,na,na
,,,,30-Dec-16,1048.9,na,na
,,,,31-Dec-16,1041.7,na,na
,,,,1-Jan-17,1585.6,na,na
,,,,2-Jan-17,346,na,na
,,,,3-Jan-17,886.3,na,na
,,,,4-Jan-17,1233.9,na,na
,,,,5-Jan-17,953.3,na,na
,,,,7-Jan-17,653.2,na,na
,,,,7-Jan-17,1494,na,na
,,,,8-Jan-17,617.5,na,na
,,,,9-Jan-17,402.5,na,na
