s_datecolct,s_est,m_est
11/2/2016,1161.1,na
11/3/2016,849.4,na
11/4/2016,1339.1,na
11/5/2016,788.5,na
11/6/2016,1771.5,na
11/7/2016,999,na
11/8/2016,1622,na
11/9/2016,1532.1,na
11/10/2016,1735.6,na
11/11/2016,937,na
11/12/2016,796.9,na
11/13/2016,466.9,na
11/14/2016,438.6,na
11/15/2016,861.2,na
11/16/2016,1045.1,na
11/17/2016,694.9,na
11/18/2016,1181.1,na
11/19/2016,3297.9,na
11/20/2016,893.8,na
11/21/2016,1258.7,na
11/22/2016,1409.4,na
11/23/2016,763.6,na
11/24/2016,1915.8,na
11/25/2016,1447.9,na
11/26/2016,108.9,na
11/28/2016,726.7,na
11/28/2016,2800.4,na
11/29/2016,1716.6,na
11/30/2016,2436.8,na
12/1/2016,1431.1,na
12/2/2016,1368.3,na
12/3/2016,1716.9,na
12/4/2016,2086.3,na
12/5/2016,4333.9,na
12/6/2016,2194.9,na
12/7/2016,2457.2,na
12/8/2016,1722.4,na
12/9/2016,563.7,na
12/10/2016,659.5,na
12/11/2016,622.6,na
12/12/2016,682.9,na
12/13/2016,523,na
12/14/2016,557,na
12/15/2016,880,na
12/16/2016,680.6,na
12/17/2016,435.8,na
12/18/2016,1137.1,na
12/19/2016,1135.5,na
12/20/2016,590.2,na
12/22/2016,1744,na
12/22/2016,857,na
12/23/2016,995.4,na
12/24/2016,1968.7,na
12/25/2016,1750.9,na
12/26/2016,774.6,na
12/27/2016,925.4,na
12/28/2016,952.9,na
12/29/2016,753.3,na
12/30/2016,1048.9,na
12/31/2016,1041.7,na
1/1/2017,1585.6,na
1/2/2017,346,na
1/3/2017,886.3,
1/4/2017,1233.9,
1/5/2017,953.3,
1/7/2017,653.2,
1/7/2017,1494,
1/8/2017,617.5,
1/9/2017,402.5,
