p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
,,,,,20-Aug-15,521.257485,473.4850299,116.4790419,,23-Aug-15,470.3488372,531.255814,203.2325581
,,,,,21-Aug-15,1478.732943,540.7017544,190.7368421,,25-Aug-15,687.6190476,519.6666667,122.2857143
,,,,,22-Aug-15,885.2446184,272.853229,86.01956947,,26-Aug-15,882.6679842,396.4505929,140.0869565
,,,,,23-Aug-15,1268.154762,411.7380952,159.7142857,,27-Aug-15,801.6632444,439.4414784,209.1252567
,,,,,24-Aug-15,2650.159681,1641.005988,191.5688623,,28-Aug-15,1114.818356,531.4646272,245.7361377
,,,,,25-Aug-15,1502.922465,525.6858847,144.6441352,,29-Aug-15,1484.696356,517.3117409,170.0161943
,,,,,26-Aug-15,794.3866944,453.3804574,145.6465696,,30-Aug-15,2255.884692,410.528827,172.9145129
,,,,,27-Aug-15,999.5238095,376.7857143,106.7142857,,31-Aug-15,2110.74364,704.3131115,326.4657534
,,,,,28-Aug-15,1185.571142,374.2364729,165.0661323,,13-Dec-15,815.8230453,677.563786,337.8461538
,,,,,29-Aug-15,1928.401559,451.7426901,209.4035088,,14-Dec-15,747.6803119,412.6003899,255.1111111
,,,,,30-Aug-15,1378.8,225.696,.,,15-Dec-15,980.5555556,476.3539095,267.3684211
,,,,,31-Aug-15,1287.582645,161.9752066,.,,16-Dec-15,845.4526749,.,326.4657534
,,,,,1-Jan-16,338.9349112,349.0729783,177.8698225,,17-Dec-15,672.9591837,.,108.3209877
,,,,,2-Jan-16,298.6720322,108.5311871,175.943662,,18-Dec-15,965.48,.,208.4326531
,,,,,3-Jan-16,1067.232323,648.0969697,304.0727273,,19-Dec-15,1105.306931,.,393.912
,,,,,4-Jan-16,556.3052209,423.9116466,225.686747,,1-Jan-16,670.3118503,353.995842,346.0277228
,,,,,5-Jan-16,860.9448819,653.1023622,328.1102362,,2-Jan-16,991.0615711,703.5838641,225.7297297
,,,,,6-Jan-16,780,429.9881188,283.7227723,,3-Jan-16,883.7860082,492.1399177,379.0318471
,,,,,7-Jan-16,1097.947686,445.8832998,404.4748491,,4-Jan-16,1340.890269,784.6956522,339.2592593
,,,,,8-Jan-16,540.4268293,335.3495935,238.902439,,5-Jan-16,1247.252964,655.4782609,315.9503106
,,,,,9-Jan-16,820.0978474,563.334638,293.9178082,,6-Jan-16,1139.917695,405.0946502,345.5573123
