Date,ID,Est,lest,pro,lpro,cort,lcort,maleAgg,M_Agg_Intense,lmagg,femagg,F_Agg_Intense,lfagg,in tun,lintun
3-Jun-15,m-b,836.4342629,0.342180781,417.4183267,2.620571513,216,2.334453751,5,5,5.1,2,2,2.1,3,3.1
4-Jun-15,m-b,736.9038462,0.348746678,481.3846154,2.682492207,177.3692308,2.248878283,6,5,6.1,0,1,0.1,5,5.1
5-Jun-15,m-b,694.2094862,0.35192797,624.0474308,2.7952176,253.7075099,2.404333323,6,5,6.1,3,3,3.1,4,4.1
6-Jun-15,m-b,617.5619835,0.358335532,603.3966942,2.780602926,265.3140496,2.423760248,1,1,1.1,0,1,0.1,1,1.1
7-Jun-15,m-b,1584.940711,0.312498728,.,#VALUE!,485.7865613,2.686445496,1,1,1.1,0,1,0.1,1,1.1
8-Jun-15,m-b,2816.6875,0.28987703,961.325,2.982870237,441.45,2.644881521,6,5,6.1,0,1,0.1,5,5.1
9-Jun-15,m-b,1024.887526,0.332151295,469.2269939,2.671382988,303.8282209,2.482628111,5,5,5.1,4,4,4.1,6,6.1
10-Jun-15,m-b,773.9791667,0.346172973,329.175,2.517426844,226.425,2.354924376,1,1,1.1,0,1,0.1,6,6.1
11-Jun-15,m-b,1144.099379,0.326961534,449.8881988,2.653104601,314.757764,2.497976451,1,1,1.1,0,1,0.1,2,2.1
12-Jun-15,m-b,1076.536797,0.329812162,813.3766234,2.910291687,288.1558442,2.459627432,2,2,2.1,1,1,1.1,2,2.1
13-Jun-15,m-b,750.7708333,0.347764712,383.85,2.584161545,329.025,2.517228898,6,5,6.1,2,2,2.1,7,7.1
14-Jun-15,m-b,430.251938,0.379690675,227.0465116,2.356114834,172.1162791,2.235821949,1,1,1.1,0,1,0.1,1,1.1
15-Jun-15,m-b,1209.715447,0.324392721,641.8780488,2.807452524,414.6585366,2.617690611,3,3,3.1,2,2,2.1,4,4.1
